ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4
Hyena_932,3,8,24,NA,NA,NA
Hyena_933,4,12,5,6,NA,NA
Hyena_934,4,12,5,6,NA,NA
Hyena_935,3,15,1,NA,NA,NA
Hyena_937,3,4,1,NA,NA,NA
Hyena_938,3,4,6,NA,NA,NA
Hyena_939,3,1,12,NA,NA,NA
Hyena_940,3,1,12,NA,NA,NA
Hyena_941,3,3,5,NA,NA,NA
Hyena_942,3,3,5,NA,NA,NA
Hyena_943,3,2,6,NA,NA,NA
Hyena_944,3,2,6,NA,NA,NA
Hyena_946,3,7,9,NA,NA,NA
Hyena_947,3,8,17,NA,NA,NA
Hyena_948,3,13,1,NA,NA,NA
Hyena_949,3,12,1,NA,NA,NA
Hyena_950,3,13,1,NA,NA,NA
Hyena_951,3,8,5,NA,NA,NA
Hyena_952,3,8,1,NA,NA,NA
Hyena_953,3,9,12,NA,NA,NA
Hyena_954,3,9,12,NA,NA,NA
Hyena_955,4,6,5,5,NA,NA
Hyena_956,4,2,5,6,NA,NA
Hyena_959,4,5,5,3,NA,NA
Hyena_960,4,1,5,6,NA,NA
Hyena_961,4,1,5,6,NA,NA
Hyena_962,3,1,3,NA,NA,NA
Hyena_964,4,17,5,3,NA,NA
Hyena_965,4,4,1,5,NA,NA
Hyena_967,3,9,12,NA,NA,NA
Hyena_968,3,9,12,NA,NA,NA
Hyena_969,3,21,17,NA,NA,NA
Hyena_970,3,13,9,NA,NA,NA
Hyena_971,3,3,9,NA,NA,NA
Hyena_972,3,3,9,NA,NA,NA
Hyena_974,4,1,5,5,NA,NA
